Nom;Prénom;Prénom 2;Date de naissance;Identifiant;Diplômes;Composante;Public;Date;Heure;Durée;Type;Matière;Identifiant matière;Enseignement;Identifiant de l'enseignement;Absent/Présent;Justification;Motif absence;Commentaire;Groupes;Salles;Profs;Contrôle
Da Silva;Clémence;Timothée;1967-07-10;65923897;;IUT;FI;22/01/2024;15H30;1H30;TD;INFFIS5-DEVELOPPEMENT AVANCE (T3BUTINFFI-S5.A.01);77339933;INFFIS5-DEVELOPPEMENT AVANCE (T3BUTINFFI-S5.A.01)-TD;;Absence;Non justifié;?;;BUT3 INFO FI A;PUM 112;BELLOUM RAFIK;Non
Da Silva;Clémence;Timothée;1967-07-10;65923897;;IUT;FI;22/01/2024;9H30;3H00;BEN;INFFIS5-DEVELOPPEMENT AVANCE (T3BUTINFFI-S5.A.01);77339933;INFFIS5-DEVELOPPEMENT AVANCE (T3BUTINFFI-S5.A.01)-PRO;;Absence;Non justifié;?;;BUT3 INFO FI A;PUM 103;;Non
Da Silva;Clémence;Timothée;1967-07-10;65923897;;IUT;FI;23/01/2024;8H00;1H30;DS;INFFIS5-METHODES DOPTIMISATION POUR LAIDE A LA DECISION (T3BUTINFFI-R5.A.11);37913365;INFFIS5-METHODES DOPTIMISATION POUR LAIDE A LA DECISION (T3BUTINFFI-R5.A.11)-DS;;Absence;Non justifié;?;;BUT3 INFO FI A#BUT3 INFO FA A;PUM 117;VION JULIEN;Non
Da Silva;Clémence;Timothée;1967-07-10;65923897;;IUT;FI;24/01/2024;9H30;1H30;CM;INFFIS6-COMMUNICATION : ORGANISATION ET DIFFUSION DE LINFO (T3BUTINFFI-R6.03);87865179;INFFIS6-COMMUNICATION : ORGANISATION ET DIFFUSION DE LINFO (T3BUTINFFI-R6.03)-CM;;Absence;Non justifié;?;;BUT3 INFO FI A#BUT3 INFO FA A;PUM 103;GUEUDET CAROLE;Oui
Da Silva;Clémence;Timothée;1967-07-10;65923897;;IUT;FI;26/01/2024;8H00;1H30;TD;INFFIS6-MAINTENANCE APPLICATIVE (T3BUTINFFI-R6.A.06);46754552;INFFIS6-MAINTENANCE APPLICATIVE (T3BUTINFFI-R6.A.06)-TD;;Absence;Non justifié;?;;BUT3 INFO FI A;PUM 103;PETIT DORIAN;Non
Da Silva;Clémence;Timothée;1967-07-10;65923897;;IUT;FI;26/01/2024;11H00;1H30;TD;INFFIS6-MAINTENANCE APPLICATIVE (T3BUTINFFI-R6.A.06);46754552;INFFIS6-MAINTENANCE APPLICATIVE (T3BUTINFFI-R6.A.06)-TD;;Absence;Non justifié;?;;BUT3 INFO FI A;PUM 103;PETIT DORIAN;Non
Da Silva;Clémence;Timothée;1967-07-10;65923897;;IUT;FI;29/01/2024;15H30;1H30;TD;INFFIS6-EVOLUTION DUNE APPLICATION EXISTANTE (T3BUTINFFI-S6.A.01);17144300;INFFIS6-EVOLUTION DUNE APPLICATION EXISTANTE (T3BUTINFFI-S6.A.01)-TD;;Absence;Non justifié;?;;BUT3 INFO FI A;PUM 103;BELLOUM RAFIK;Non
Da Silva;Clémence;Timothée;1967-07-10;65923897;;IUT;FI;29/01/2024;14H00;1H30;TD;INFFIS6-COMMUNICATION : ORGANISATION ET DIFFUSION DE LINFO (T3BUTINFFI-R6.03);87865179;INFFIS6-COMMUNICATION : ORGANISATION ET DIFFUSION DE LINFO (T3BUTINFFI-R6.03)-TD;;Absence;Non justifié;?;;BUT3 INFO FI A;PUM 103;GUEUDET CAROLE;Oui
Da Silva;Clémence;Timothée;1967-07-10;65923897;;IUT;FI;30/01/2024;9H30;3H00;BEN;INFFIS6-EVOLUTION DUNE APPLICATION EXISTANTE (T3BUTINFFI-S6.A.01);17144300;INFFIS6-EVOLUTION DUNE APPLICATION EXISTANTE (T3BUTINFFI-S6.A.01)-PRO;;Absence;Non justifié;?;;BUT3 INFO FI A;PUM 103;;Non
Da Silva;Clémence;Timothée;1967-07-10;65923897;;IUT;FI;31/01/2024;9H30;3H00;BEN;INFFIS6-EVOLUTION DUNE APPLICATION EXISTANTE (T3BUTINFFI-S6.A.01);17144300;INFFIS6-EVOLUTION DUNE APPLICATION EXISTANTE (T3BUTINFFI-S6.A.01)-PRO;;Absence;Non justifié;?;;BUT3 INFO FI A;PUM 103;;Non
