Nom;Prénom;Prénom 2;Date de naissance;Identifiant;Diplômes;Composante;Public;Date;Heure;Durée;Type;Matière;Identifiant matière;Enseignement;Identifiant de l'enseignement;Absent/Présent;Justification;Motif absence;Commentaire;Groupes;Salles;Profs;Contrôle
Chevalier;Mathis;Romain;1996-04-08;99887766;BUT3 INFORMATIQUE (T3BUTINF-A3) - FI;IUT;FI;03/12/2025;8H00;2H00;TP;INFFIS5-DEVELOPPEMENT AVANCE (T3BUTINFFI-S5.A.01);77339933;INFFIS5-DEVELOPPEMENT AVANCE (T3BUTINFFI-S5.A.01)-TP;;Absence;Absence justifiée;Entretien embauche;Entreprise Paris;BUT3 INFO TPA;PUM 112;ROUSSEL DOMINIQUE;Non
Chevalier;Mathis;Romain;1996-04-08;99887766;BUT3 INFORMATIQUE (T3BUTINF-A3) - FI;IUT;FI;03/12/2025;10H00;1H30;CM;INFFIS5-VIRTUALISATION (T3BUTINFFI-R5.A.04);20304050;INFFIS5-VIRTUALISATION (T3BUTINFFI-R5.A.04)-CM;;Absence;Absence justifiée;Entretien embauche;Entreprise Paris;BUT3 INFO;PUM AMPHI;PERRIN VALERIE;Non
Faure;Camille;Julie;1997-01-16;88776655;BUT3 INFORMATIQUE (T3BUTINF-A3) - FI;IUT;FI;04/12/2025;14H00;1H30;TD;INFFIS5-CONCEPTION ET DEVELOPPEMENT DAPPLICATIONS (T3BUTINFFI-R5.A.03);30405060;INFFIS5-CONCEPTION ET DEVELOPPEMENT DAPPLICATIONS (T3BUTINFFI-R5.A.03)-TD;;Absence;Non justifié;?;;BUT3 INFO TDA;PUM 118;MASSON GREGORY;Oui
Faure;Camille;Julie;1997-01-16;88776655;BUT3 INFORMATIQUE (T3BUTINF-A3) - FI;IUT;FI;05/12/2025;8H00;1H30;CM;INFFIS5-PROGRAMMATION AVANCEE (T3BUTINFFI-R5.A.05);40506070;INFFIS5-PROGRAMMATION AVANCEE (T3BUTINFFI-R5.A.05)-CM;;Absence;Non justifié;?;;BUT3 INFO;PUM AMPHI;COLIN FRANCOIS;Non
Renard;Benjamin;Arthur;1996-10-23;77665544;BUT3 INFORMATIQUE (T3BUTINF-A3) - FI;IUT;FI;06/12/2025;9H30;2H00;TP;INFFIS5-DEVELOPPEMENT AVANCE (T3BUTINFFI-S5.A.01);77339933;INFFIS5-DEVELOPPEMENT AVANCE (T3BUTINFFI-S5.A.01)-TP;;Absence;Absence justifiée;Forum entreprise;Obligatoire ecole;BUT3 INFO TPB;PUM 114;MULLER SANDRINE;Non
Renard;Benjamin;Arthur;1996-10-23;77665544;BUT3 INFORMATIQUE (T3BUTINF-A3) - FI;IUT;FI;06/12/2025;14H00;1H30;TD;INFFIS5-GESTION DE PROJET (T3BUTINFFI-R5.A.09);60708090;INFFIS5-GESTION DE PROJET (T3BUTINFFI-R5.A.09)-TD;;Absence;Absence justifiée;Forum entreprise;Obligatoire ecole;BUT3 INFO TDB;PUM 105;HENRY BEATRICE;Oui
Dupuis;Pauline;Aurelie;1996-12-30;66554433;BUT3 INFORMATIQUE (T3BUTINF-A3) - FI;IUT;FI;09/12/2025;8H00;1H30;TD;INFFIS5-VIRTUALISATION (T3BUTINFFI-R5.A.04);20304050;INFFIS5-VIRTUALISATION (T3BUTINFFI-R5.A.04)-TD;;Absence;Non justifié;?;;BUT3 INFO TDC;PUM 114;PERRIN VALERIE;Non
Garnier;Quentin;Nicolas;1997-05-05;55443322;BUT3 INFORMATIQUE (T3BUTINF-A3) - FI;IUT;FI;10/12/2025;10H00;1H30;CM;INFFIS6-SECURITE (T3BUTINFFI-R6.A.02);70809000;INFFIS6-SECURITE (T3BUTINFFI-R6.A.02)-CM;;Absence;Absence justifiée;Maladie;Angine;BUT3 INFO;PUM AMPHI;BARBIER CEDRIC;Non
Garnier;Quentin;Nicolas;1997-05-05;55443322;BUT3 INFORMATIQUE (T3BUTINF-A3) - FI;IUT;FI;10/12/2025;14H00;2H00;TP;INFFIS6-EVOLUTION DUNE APPLICATION EXISTANTE (T3BUTINFFI-S6.A.01);17144300;INFFIS6-EVOLUTION DUNE APPLICATION EXISTANTE (T3BUTINFFI-S6.A.01)-TP;;Absence;Absence justifiée;Maladie;Angine;BUT3 INFO TPC;PUM 115;ROUSSEL DOMINIQUE;Non
Picard;Laura;Emma;1996-08-18;44332211;BUT3 INFORMATIQUE (T3BUTINF-A3) - FI;IUT;FI;11/12/2025;8H00;1H30;TD;INFFIS5-PROGRAMMATION AVANCEE (T3BUTINFFI-R5.A.05);40506070;INFFIS5-PROGRAMMATION AVANCEE (T3BUTINFFI-R5.A.05)-TD;;Absence;Non justifié;?;;BUT3 INFO TDA;PUM 118;COLIN FRANCOIS;Oui
Lemoine;Adrien;Sebastien;1997-03-11;33221100;BUT3 INFORMATIQUE (T3BUTINF-A3) - FI;IUT;FI;12/12/2025;9H30;1H30;TD;INFFIS5-CONCEPTION ET DEVELOPPEMENT DAPPLICATIONS (T3BUTINFFI-R5.A.03);30405060;INFFIS5-CONCEPTION ET DEVELOPPEMENT DAPPLICATIONS (T3BUTINFFI-R5.A.03)-TD;;Absence;Absence justifiée;Salon professionnel;Autorisé par direction;BUT3 INFO TDB;PUM 105;MASSON GREGORY;Non
Boyer;Melissa;Sophie;1996-06-27;22110099;BUT3 INFORMATIQUE (T3BUTINF-A3) - FI;IUT;FI;13/12/2025;14H00;2H00;TP;INFFIS6-MAINTENANCE APPLICATIVE (T3BUTINFFI-R6.A.06);46754552;INFFIS6-MAINTENANCE APPLICATIVE (T3BUTINFFI-R6.A.06)-TP;;Absence;Non justifié;?;;BUT3 INFO TPC;PUM 111;MULLER SANDRINE;Oui
Arnaud;Florian;Victor;1996-11-09;11009988;BUT3 INFORMATIQUE (T3BUTINF-A3) - FI;IUT;FI;16/12/2025;10H00;1H30;CM;INFFIS6-COMMUNICATION : ORGANISATION ET DIFFUSION DE LINFO (T3BUTINFFI-R6.03);87865179;INFFIS6-COMMUNICATION : ORGANISATION ET DIFFUSION DE LINFO (T3BUTINFFI-R6.03)-CM;;Absence;Absence justifiée;Soutenance stage;Presentation entreprise;BUT3 INFO;PUM AMPHI;BRETON LAURENCE;Non
Lucas;Marine;Lea;1997-02-14;00998877;BUT3 INFORMATIQUE (T3BUTINF-A3) - FI;IUT;FI;17/12/2025;8H00;1H30;TD;INFFIS6-SECURITE (T3BUTINFFI-R6.A.02);70809000;INFFIS6-SECURITE (T3BUTINFFI-R6.A.02)-TD;;Absence;Absence justifiée;Probleme transport;Neige blocage route;BUT3 INFO TDC;PUM 114;BARBIER CEDRIC;Non
