Nom;Prénom;Prénom 2;Date de naissance;Identifiant;Diplômes;Composante;Public;Date;Heure;Durée;Type;Matière;Identifiant matière;Enseignement;Identifiant de l'enseignement;Absent/Présent;Justification;Motif absence;Commentaire;Groupes;Salles;Profs;Contrôle
Martin;Sophie;Marie;1998-03-15;89765432;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;IUT;FI;05/12/2025;8H00;1H30;CM;INFFIS2-DEVELOPPEMENT ORIENTE OBJETS (T3BUTINFFI-R2.01);37929879;INFFIS2-DEVELOPPEMENT ORIENTE OBJETS (T3BUTINFFI-R2.01)-CM;;Absence;Absence justifiée;RDV médical;Certificat médical fourni;BUT1 INFO;PUM AMPHI;DUPONT MARC;Non
Martin;Sophie;Marie;1998-03-15;89765432;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;IUT;FI;05/12/2025;9H30;1H30;TD;INFFIS2-DEVELOPPEMENT ORIENTE OBJETS (T3BUTINFFI-R2.01);37929879;INFFIS2-DEVELOPPEMENT ORIENTE OBJETS (T3BUTINFFI-R2.01)-TD;;Absence;Absence justifiée;RDV médical;Certificat médical fourni;BUT1 INFO TDA;PUM 117;DUPONT MARC;Non
Durand;Lucas;Jean;1999-07-22;87654321;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;IUT;FI;06/12/2025;14H00;2H00;TP;INFFIS2-DEVELOPPEMENT DINTERFACES WEB (T3BUTINFFI-R2.02);28078801;INFFIS2-DEVELOPPEMENT DINTERFACES WEB (T3BUTINFFI-R2.02)-TP;;Absence;Non justifié;?;;BUT1 INFO TPA;PUM 111;BERNARD ALICE;Oui
Durand;Lucas;Jean;1999-07-22;87654321;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;IUT;FI;09/12/2025;10H00;1H30;CM;INFFIS2-COMMUNICATION ET FONCTIONNEMENT BAS NIVEAU (T3BUTINFFI-R2.04);28078800;INFFIS2-COMMUNICATION ET FONCTIONNEMENT BAS NIVEAU (T3BUTINFFI-R2.04)-CM;;Absence;Non justifié;?;;BUT1 INFO;PUM AMPHI;MARTIN PIERRE;Non
Petit;Emma;Louise;2000-01-10;76543210;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;IUT;FI;10/12/2025;8H00;1H30;TD;INFFIS2-EXPLOITATION DUNE BASE DE DONNEES (T3BUTINFFI-R2.06);40704755;INFFIS2-EXPLOITATION DUNE BASE DE DONNEES (T3BUTINFFI-R2.06)-TD;;Absence;Absence justifiée;Problème transport;Train annulé;BUT1 INFO TDB;PUM 115;LEFEBVRE SOPHIE;Non
Petit;Emma;Louise;2000-01-10;76543210;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;IUT;FI;10/12/2025;9H30;1H30;TD;INFFIS2-QUALITE DE DEVELOPPEMENT (T3BUTINFFI-R2.03);37929880;INFFIS2-QUALITE DE DEVELOPPEMENT (T3BUTINFFI-R2.03)-TD;;Absence;Absence justifiée;Problème transport;Train annulé;BUT1 INFO TDB;PUM 115;LAMBERT JULIEN;Oui
Robert;Thomas;Paul;1999-11-05;65432109;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;IUT;FI;11/12/2025;14H00;2H00;TP;INFFIS2-DEVELOPPEMENT DINTERFACES WEB (T3BUTINFFI-R2.02);28078801;INFFIS2-DEVELOPPEMENT DINTERFACES WEB (T3BUTINFFI-R2.02)-TP;;Absence;Non justifié;?;;BUT1 INFO TPB;PUM 112;DUPONT MARC;Non
Moreau;Clara;Camille;2000-05-18;54321098;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;IUT;FI;12/12/2025;8H00;1H30;CM;INFFIS2-COMMUNICATION ET FONCTIONNEMENT BAS NIVEAU (T3BUTINFFI-R2.04);28078800;INFFIS2-COMMUNICATION ET FONCTIONNEMENT BAS NIVEAU (T3BUTINFFI-R2.04)-CM;;Absence;Absence justifiée;Maladie;Grippe;BUT1 INFO;PUM AMPHI;ROUSSEAU DAVID;Non
Moreau;Clara;Camille;2000-05-18;54321098;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;IUT;FI;12/12/2025;9H30;1H30;TD;INFFIS2-COMMUNICATION ET FONCTIONNEMENT BAS NIVEAU (T3BUTINFFI-R2.04);28078800;INFFIS2-COMMUNICATION ET FONCTIONNEMENT BAS NIVEAU (T3BUTINFFI-R2.04)-TD;;Absence;Absence justifiée;Maladie;Grippe;BUT1 INFO TDC;PUM 115;ROUSSEAU DAVID;Non
Simon;Hugo;Alexandre;1998-09-30;43210987;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;IUT;FI;13/12/2025;10H00;1H30;TD;INFFIS2-COMMUNICATION TECHNIQUE (T3BUTINFFI-R2.13);18452152;INFFIS2-COMMUNICATION TECHNIQUE (T3BUTINFFI-R2.13)-TD;;Absence;Non justifié;?;;BUT1 INFO TDA;PUM 117;GIRARD CATHERINE;Oui
